stancode,latin,danish
470,Pohlia,-
471,Pohlia andalusica,-
472,Pohlia annotina,Blød nikkemos
473,Pohlia bulbifera,Gulkuglet nikkemos
474,Pohlia camptotrachela,Fin nikkemos
475,Pohlia cruda,Opaliserende nikkemos
476,Pohlia drummondii,Bæk-nikkemos
477,Pohlia elongata,Langhalset nikkemos
478,Pohlia filum,Tråd nikkemos
479,Pohlia lescuriana,Mørk nikkemos
480,Pohlia lutescens,Gul nikkemos
481,Pohlia marchica,Sand nikkemos
482,Pohlia nutans,Almindelig nikkemos
483,Pohlia proligera,Snoet nikkemos
484,Pohlia sphagnicola,Sphagnum-nikkemos
485,Rhodobryum,-
486,Rhodobryum roseum,Stor rosetmos
487,Buxbaumiaceae,-
488,Buxbaumia,-
489,Buxbaumia aphylla,Rundkapslet buxbaumia
490,Buxbaumia viridis,Grøn buxbaumia
491,Diphyscium,-
492,Diphyscium foliosum,Stilkløs sækkapsel
493,Catoscopiaceae,-
494,Catoscopium,-
495,Catoscopium nigritum,Mørk knappenålmos
496,Climaciaceae,-
497,Climacium,-
498,Climacium dendroides,Stor engkost
499,Cryphaeaceae,-
500,Cryphaea,-
501,Cryphaea heteromalla,Bark-dækmos
502,Dicranaceae,-
503,Amphidium,-
504,Amphidium mougeotii,Skør pudemos
505,Anisothecium,-
506,Anisothecium palustre,-
507,Anisothecium schreberianum,-
508,Anisothecium staphylinum,-
509,Anisothecium vaginale,-
510,Anisothecium varium,-
511,Campylopus,-
512,Campylopus brevipilus,Hede-bredribbe
513,Campylopus flexuosus,Filtet bredribbe
514,Campylopus fragilis,Skør bredribbe
515,Campylopus introflexus,Stjerne-bredribbe
516,Campylopus pyriformis,Almindelig bredribbe
517,Cynodontium,-
518,Cynodontium strumiferum,Stor hundetandsmos
519,Cynodontium jenneri,Slank hundetandsmos
520,Cynodontium polycarpum,-
521,Dichodontium,-
522,Dichodontium pellucidum,Mamilløs bredtand
523,Dicranella,-
524,Dicranella cerviculata,Mose-fløjlsmos
525,Dicranella heteromalla,Almindelig fløjlsmos
526,Dicranella rufescens,Kalk-fløjlsmos
527,Dicranella subulata,Sylbladet fløjlsmos
528,Dicranoweisia,-
529,Dicranoweisia cirrata,Almindelig krøltuemos
530,Dicranum,-
531,Dicranum affine,-
532,Dicranum bonjeanii,Kær-kløvtand
533,Dicranum fragilifolium,-
534,Dicranum fuscecens,-
535,Dicranum leioneuron,Helspidset kløvtand
536,Dicranum majus,Stor kløvtand
537,Dicranum polysetum,Bølgebladet kløvtand
538,Dicranum scoparium,Almindelig kløvtand
539,Dicranum spurium,Hede-kløvtand
540,Oreoweisia,-
541,Oreoweisia bruntonii,-
542,Orthodicranum,-
543,Orthodicranum flagellare,-
544,Orthodicranum fulvum,-
545,Orthodicranum montanum,-
546,Orthodicranum scottianum,-
547,Orthodicranum tauricum,-
548,Pseudephemerum,-
549,Pseudephemerum nitidum,Jord-nøgenmos
550,Rhabdoweisia,-
551,Rhabdoweisia fugax,Bæger-tuemos
552,Trematodon,-
553,Trematodon ambiguus,Syl-tranehalsmos
554,Disceliaceae,-
555,Discelium,-
556,Discelium nudum,Moler-kravemos
557,Ditrichaceae,-
558,Ceratodon,-
559,Ceratodon purpureus,Rød horntand
560,Ceratodon xanthopus,-
561,Distichium,-
562,Distichium capillaceum,Ret toradsmos
563,Distichium inclinatum,Nikkende toradsmos
564,Ditrichum,-
565,Ditrichum cylindricum,Udspærret hårtand
566,Ditrichum flexicaule,Kalk-hårtand
567,Ditrichum heteromallum,Ensidig hårtand
568,Ditrichum pallidum,Bleg hårtand
569,Ditrichum pusillum,Kortbørstet hårtand
570,Pleuridium,-
571,Pleuridium acuminatum,Siddende sylbladsmos
572,Pleuridium subulatum,Kortstilket sylbladsmos
573,Trichodon,-
574,Encalyptaceae,-
575,Encalypta,-
576,Encalypta rhabtocarpa,-
577,Encalypta streptocarpa,Stor klokkehætte
578,Encalypta vulgaris,Almindelig klokkehætte
579,Encalypta trachymitria,Priktandet klokkehætte
580,Entodontaceae,-
581,Entodon,-
582,Entodon concinnus,Silket kridtmos
583,Pleurozium,-
584,Pleurozium schreberi,Trind fyrremos
585,Pterigynandrum,-
586,Pterigynandrum filiforme,Tråd-rebmos
587,Ephemeraceae,-
588,Ephemerum,-
589,Ephemerum serratum,Vortet døgnmos
590,Fissidentaceae,-
591,Fissidens,-
592,Fissidens decipiens,-
593,Fissidens exilis,Ler-rademos
594,Fissidens gracilifolium,-
595,Fissidens osmumdoides,-
596,Fissidens pusillus,Bæk-rademos
597,Fissidens taxifolius,Taksbladet rademos
598,Fissidens viridulus,Grønlig rademos
599,Fissidens adianthoides,Kær-rademos
600,Fissidens bryoides,Top-rademos
601,Fissidens cristatus,-
602,Octodiceras,-
603,Octodiceras fontanum,-
604,Funariaceae,-
605,Entosthodon,-
606,Entosthodon fascicularis,Knippe-skjultand
607,Entosthodon obtusus,Butbladet skjultand
608,Funaria,-
609,Funaria hygrometrica,Almindelig snobørste
610,Physcomitrella,-
611,Physcomitrella patens,Bulet muddermos
612,Physcomitrium,-
613,Physcomitrium eurystomum,Kort pærekapsel
614,Physcomitrium pyriforme,Almindelig pærekapsel
615,Grimmiaceae,-
616,Dryptodon,-
617,Dryptodon patens,-
618,Grimmia,-
619,Grimmia decipiens,Tandet gråmos
620,Grimmia hartmanii,Hartmans gråmos
621,Grimmia laevigata,Ø-gråmos
622,Grimmia ovalis,Butbladet gråmos
623,Grimmia pulvinata,Pude-gråmos
624,Grimmia trichophylla,Glathåret gråmos
625,Grimmia longirostris,Langnæbet gråmos
626,Racomitirum,-
627,Racomitrium aciculare,Butbladet børstemos
628,Racomitrium affine,Spinkel børstemos
629,Racomitrium aquaticum,Kilde-børstemos
630,Racomitrium canescens,Sand-børstemos
631,Racomitrium elongatum,Lang børstemos
632,Racomitrium ericoides,Tætgrenet børstemos
633,Racomitrium fasciculare,Knippe-børstemos
634,Racomitrium heterostichum,Sten-børstemos
635,Racomitrium heterostichum var. heterostichum,-
636,Racomitrium lanuginosum,Stor børstemos
637,Racomitrium microcarpum,Småfrugtet børstemos
638,Racomitrium obtusum,Kyst-børstemos
639,Racomitrium sudeticum,Sudeter-børstemos
640,Schistidium,-
641,Schistidium apocarpum,Grå strålekransmos
642,Schistidium papillosum,Papil-strålekransmos
643,Schistidium rivulare,Bæk-strålekransmos
644,Schistidium brunnescens,Mørk strålekransmos
645,Schistidium crassipilum,Tyk strålekransmos
646,Schistidium elongatum,-
647,Schistidium maritimum,Strand-strålekransmos
648,Hedwigiaceae,-
649,Hedwigia,-
650,Hedwigia ciliata,Hvidspidset hedwigia
651,Hedwigia stellata,Stjernebladet hedwigia
652,Hookeriaceae,-
653,Hookeria,-
654,Hookeria lucens,Skinnende dronningemos
655,Hypnaceae,-
656,Ctenidium,-
657,Ctenidium molluscum,Kalk-blødmos
658,Homomallium,-
659,Homomallium incurvatum,Krum skyggemos
660,Hylocomium,-
661,Hylocomium brevirostre,-
662,Hylocomium splendens,Almindelig etagemos
663,Hypnum,-
664,Hypnum andoi,Vortet cypresmos
665,Hypnum cupressiforme,Almindelig cypresmos
666,Hypnum imponens,Sort cypresmos
667,Hypnum jutlandicum,Hede-cypresmos
668,Hypnum lindbergii,-
669,Hypnum pratense,-
670,Hypnum resupinatum,Ret cypresmos
671,Platygyrium,-
672,Platygyrium repens,Mørk yngleknop
673,Ptilium,-
674,Ptilium crista-castrensis,Fjer-kammos
675,Pylaisia,-
676,Pylaisia polyantha,Mangefrugtet aspemos
677,Rhytidiadelphus,-
678,Rhytidiadelphus loreus,Ulvefod-kransemos
679,Rhytidiadelphus squarrosus,Plæne-kransemos
680,Rhytidiadelphus triquetrus,Stor kransemos
681,Lembophyllaceae,-
682,Isothecium,-
683,Isothecium myosuroides,Slank stammemos
684,Isothecium myurum,-
685,Leskeaceae,-
686,Leskea,-
687,Leskea polycarpa,Mat lærkemos
688,Leskeella,-
689,Pseudoleskeella,-
690,Pseudoleskeella nervosa,Mat mørkmos
691,Leucobryaceae,-
692,Leucobryum,-
693,Leucobryum glaucum,Almindelig hvidmos
694,Leucobryum juniperoideum,Lille hvidmos
695,Paraleucobryum,-
696,Paraleucobryum longifolium,Skov-ribbemos
697,Leucodontaceae,-
698,Antitrichia,-
699,Antitrichia curtipendula,Åben krogtand
700,Leucodon,-
701,Leucodon sciuroides,Egernhale-buemos
702,Pterogonium,-
703,Pterogonium gracile,Tæt fugleklomos
704,Meesiaceae,-
705,Amblyodon,-
706,Amblyodon dealbatus,Almindelig stumptand
707,Meesia,-
708,Meesia longiseta,Langbørstet meesia
709,Meesia triquetra,Treradet meesia
710,Meesia uliginosa,Butbladet meesia
711,Paludella,-
712,Paludella squarrosa,Almindelig piberensermos
713,Mniaceae,-
714,Cinclidium,-
715,Cinclidium stygium,Kær-gittermos
716,Mnium,-
717,Mnium hornum,Brunfiltet stjernemos
718,Mnium marginatum,Rødlig stjernemos
719,Mnium stellare,Indigo stjernemos
720,Plagiomnium,-
721,Plagiomnium affine,Fælled-krybstjerne
722,Plagiomnium cuspidatum,Gærde-krybstjerne
723,Plagiomnium elatum,Raslende krybstjerne
724,Plagiomnium ellipticum,Mose-krybstjerne
725,Plagiomnium medium,Stor krybstjerne
726,Plagiomnium rostratum,Næb-krybstjerne
727,Plagiomnium undulatum,Bølget krybstjerne
728,Pseudobryum,-
729,Pseudobryum cinclidioides,Sortstænglet sumpmos
730,Rhizomnium,-
731,Rhizomnium pseudopunctatum,Kær-bredblad
732,Rhizomnium punctatum,Almindelig bredblad
733,Neckeraceae,-
734,Homalia,-
735,Homalia trichomanoides,Skov-tungemos
736,Neckera,-
737,Neckera complanata,Almindelig fladmos
738,Neckera crispa,Kruset fladmos
739,Neckera pennata,Fjer-fladmos
740,Neckera pumila,Lav fladmos
741,Thamnobryum,-
742,Thamnobryum alopecurum,Mat bækkost
743,Orthotrichaceae,-
744,Nyholmiella,-
745,Orthotrichum,-
746,Orthotrichum affine var. affine,-
747,Orthotrichum affine var. fastigiatum,-
748,Orthotrichum anomalum,Mørk furehætte
749,Orthotrichum cupulatum,Skål-furehætte
750,Orthotrichum diaphanum,Hårspidset furehætte
751,Orthotrichum gymnostomum,Tandløs furehætte
752,Orthotrichum lyellii,Stor furehætte
753,Orthotrichum obtusifolium,Butbladet furehætte
